2,2,5,1,1,5,3,2,5,7
1,2,2,1,2,3,1,2,2,2
9,9,8,10,4,5,3,9,8,10
difference_honoring,difference_honoring,difference_honoring,difference_honoring,difference_honoring,difference_honoring,difference_honoring,difference_honoring,difference_honoring,difference_honoring
no,no,no,no,no,no,no,no,no,no
21,23,32,21,20,19,19,19,24,19
student,student,life-nurturer,student,student,student,student,student,student,student
